model,validation_season,dimension,segment,rows,weight,actual_rate,predicted_rate,mean_bias,brier,weighted_excess_vs_fold_reference
constant,2024,game_month,8,41920,0.16536032535590733,0.4841125954198473,0.5315815109059132,0.04746891548606591,0.25200088831312983,0.0003627941967750421
constant,2024,game_month,9,33305,0.13137704284299842,0.47566431466746734,0.5315815109059132,0.055917196238445876,0.25253450725456483,0.0003583414599141568
constant,2024,game_month,10,1671,0.00659153396158686,0.5050867743865949,0.5315815109059133,0.02649473651931844,0.250676095789568,5.729157197929181e-06
constant,2024,count_state,0-0,65317,0.25765363481087306,0.4862899398318967,0.5315815109059132,0.04529157107401649,0.25186336066053966,0.0005298476700499337
constant,2024,count_state,0-1,31402,0.12387034677543421,0.5010508884784408,0.5315815109059132,0.030530622427472398,0.2509310145392148,0.00013924114341523825
constant,2024,count_state,0-2,16155,0.06372605095717278,0.49229340761374185,0.5315815109059133,0.03928810329217147,0.2514841634940884,0.00010688367378845015
constant,2024,count_state,1-0,26438,0.10428903343891885,0.4799152734700053,0.5315815109059132,0.051666237435907925,0.252266003850999,0.0002564547733070537
constant,2024,count_state,1-1,25313,0.09985128615777868,0.4862323707186031,0.5315815109059132,0.04534914018731012,0.2518669968996983,0.00020570065334483712
constant,2024,count_state,1-2,24399,0.09624586303336792,0.497807287183901,0.5315815109059133,0.03377422372201233,0.25113589019853066,0.00012790723339031984
constant,2024,count_state,2-0,9392,0.037048286635083055,0.47327512776831343,0.5315815109059132,0.05830638313759978,0.25268541551878865,0.00010664307673046617
constant,2024,count_state,2-1,13446,0.05303995550418726,0.47411869701026327,0.5315815109059132,0.057462813895649945,0.25263213313635957,0.00014984882066262329
constant,2024,count_state,2-2,20640,0.0814178701179849,0.49064922480620154,0.5315815109059132,0.04093228609971167,0.2515880150486237,0.00014501241521334556
constant,2024,count_state,3-0,3214,0.012678150899186216,0.4819539514623522,0.5315815109059132,0.04962755944356101,0.2521372347885011,2.9543996867644396e-05
constant,2024,count_state,3-1,6020,0.023746878784412263,0.4591362126245847,0.5315815109059133,0.07244529828132862,0.25357847212440754,8.95624306747733e-05
constant,2024,count_state,3-2,11771,0.04643264288560079,0.45697052077138733,0.5315815109059132,0.07461099013452588,0.2537152637661687,0.00018147441663315242
constant,2024,pitcher_n_bucket,0,81,0.00031951780424209193,0.4074074074074074,0.5315815109059132,0.12417410349850583,0.2568458197766398,2.2490516419980365e-06
constant,2024,pitcher_n_bucket,1-10,814,0.003210956699420529,0.4398034398034398,0.5315815109059132,0.09177807110247344,0.2547995884757926,1.6031220594578282e-05
constant,2024,pitcher_n_bucket,1001+,194773,0.7683140899462342,0.49117177432190295,0.531581510905913,0.040409736584010036,0.25155500924216573,0.001343076403903957
constant,2024,pitcher_n_bucket,11-50,3165,0.012484862350941,0.46161137440758293,0.5315815109059132,0.06997013649833028,0.2534221334267202,4.513535764430769e-05
constant,2024,pitcher_n_bucket,201-1000,44121,0.17404253136994244,0.4715214976995082,0.5315815109059132,0.06006001320640503,0.2527961800930744,0.0005202572175533379
constant,2024,pitcher_n_bucket,51-200,10553,0.041628041829219704,0.46508101961527526,0.5315815109059132,0.06650049129063795,0.2532029801507874,0.00014137105273967168
constant,2024,batter_n_bucket,0,88,0.0003471304539914085,0.5,0.5315815109059132,0.03158151090591321,0.2509973918311003,4.1324668170695694e-07
constant,2024,batter_n_bucket,1-10,862,0.0034003005834158427,0.46403712296983757,0.5315815109059132,0.06754438793607564,0.25326891581737254,1.1771803422484958e-05
constant,2024,batter_n_bucket,1001+,210244,0.8293419905564738,0.4888462928787504,0.5315815109059129,0.04273521802716246,0.2517018936772826,0.001571575637881659
constant,2024,batter_n_bucket,11-50,2933,0.01156970024496365,0.47528128196385955,0.5315815109059133,0.056300228942053776,0.25255870075757747,3.183720033101879e-05
constant,2024,batter_n_bucket,201-1000,31539,0.12441076577767084,0.47725038840800277,0.5315815109059132,0.054331122497910445,0.2524343260442962,0.0003268767573626071
constant,2024,batter_n_bucket,51-200,7841,0.03093011238348448,0.45453386047697997,0.5315815109059131,0.07704765042893313,0.25386917059349234,0.0001256456583983832
constant,2024,li_bucket,0.5-1,76851,0.303151392269247,0.488308545106765,0.5315815109059132,0.04327296579914819,0.25173585945153376,0.0005847586320058546
constant,2024,li_bucket,1-2,64984,0.2563400616156556,0.4931521605318232,0.5315815109059132,0.03842935037409001,0.25142992206479264,0.00041603871725583586
constant,2024,li_bucket,2+,24599,0.09703479588334839,0.48607666978332453,0.5315815109059132,0.04550484112258868,0.2518768314412695,0.00020085277855665
constant,2024,li_bucket,<=0.5,87073,0.34347375023174903,0.47890850206148866,0.5315815109059132,0.05267300884442455,0.2523295945754346,0.0008664701762594938
constant,2024,score_bucket,four_plus,67770,0.2673298962158836,0.4796665191087502,0.5315815109059132,0.051914991797163024,0.2522817159281447,0.0006615851323349823
constant,2024,score_bucket,one_run,52123,0.20560773469766122,0.4885175450376993,0.5315815109059132,0.04306396586821393,0.2517226583843374,0.00039388924022909684
constant,2024,score_bucket,tie,61537,0.24274280394624212,0.49514925979492014,0.5315815109059132,0.036432251110993075,0.2513037792404773,0.000363350168984645
constant,2024,score_bucket,two_three,72077,0.2843195651402131,0.48269212092623165,0.5315815109059132,0.04888938997968156,0.2520906097745532,0.0006492957625291033
constant,2024,pitcher_history_missing,available,249869,0.9856493114588551,0.48645490236884126,0.5315815109059129,0.04512660853707162,0.2518529411282205,0.0020166526564373744
